subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
99,1497393260977461,1497393776853359,All_of_trial_1,1,0.5051402,0.2698237,1,0.4835239,0.2506525
99,1497393260994087,1497393776869987,All_of_trial_1,1,0.504261,0.2534883,1,0.4843867,0.2418056
99,1497393261010713,1497393776886614,All_of_trial_1,1,0.4970409,0.2702303,1,0.4913898,0.2703643
99,1497393261027464,1497393776903366,All_of_trial_1,1,0.5017003,0.2723345,1,0.4773331,0.2540679
99,1497393261044090,1497393776919993,All_of_trial_1,1,0.4977263,0.2635774,1,0.4818508,0.2639233
99,1497393261060717,1497393776936621,All_of_trial_1,1,0.5108865,0.2722763,1,0.4866529,0.2703918
99,1497393261077349,1497393776953255,All_of_trial_1,1,0.4880225,0.2835189,1,0.4838292,0.2653634
99,1497393261093980,1497393776969887,All_of_trial_1,1,0.4985158,0.2688673,1,0.4876668,0.2666219
99,1497393261110717,1497393776986625,All_of_trial_1,1,0.4875945,0.2749947,1,0.4911495,0.2780354
99,1497393261127345,1497393777003255,All_of_trial_1,1,0.503702,0.2809665,1,0.4864151,0.276698
99,1497393261143970,1497393777019881,All_of_trial_1,1,0.5058327,0.2626824,1,0.4793099,0.270374
99,1497393261160596,1497393777036509,All_of_trial_1,1,0.4976169,0.2645802,1,0.4762303,0.2764138
99,1497393261177347,1497393777053261,All_of_trial_1,1,0.4944133,0.2946906,1,0.4942277,0.2643236
99,1497393261193973,1497393777069888,All_of_trial_1,1,0.5098244,0.2594497,1,0.4827023,0.2765868
99,1497393261210599,1497393777086515,All_of_trial_1,1,0.5048868,0.2786125,1,0.4895821,0.2774584
99,1497393261227227,1497393777103145,All_of_trial_1,1,0.4848604,0.2732411,1,0.4904637,0.2641498
99,1497393261243977,1497393777119896,All_of_trial_1,1,0.4988029,0.2717111,1,0.4925231,0.2548804
99,1497393261260603,1497393777136524,All_of_trial_1,1,0.495031,0.2758321,1,0.4836524,0.2735046
99,1497393261277229,1497393777153151,All_of_trial_1,1,0.4142157,0.2032878,1,0.4364704,0.2150085
99,1497393261293851,1497393777169774,All_of_trial_1,1,0.4007604,0.1565547,1,0.4129846,0.1417424
99,1497393261310479,1497393777186404,All_of_trial_1,1,0.4127773,0.148759,1,0.4561686,0.1649683
99,1497393261327242,1497393777203168,All_of_trial_1,1,0.399266,0.1240067,1,0.4500776,0.1442025
99,1497393261343854,1497393777219781,All_of_trial_1,1,0.3977539,0.1451236,1,0.455405,0.1399858
99,1497393261360491,1497393777236420,All_of_trial_1,1,0.3907588,0.1377448,1,0.4706822,0.1361774
99,1497393261377108,1497393777253038,All_of_trial_1,1,0.4062599,0.1310167,1,0.4627386,0.1432781
99,1497393261393860,1497393777269791,All_of_trial_1,1,0.4089708,0.1502424,1,0.4477149,0.143711
99,1497393261410486,1497393777286419,All_of_trial_1,1,0.4057776,0.1199583,1,0.4541254,0.1396327
99,1497393261427112,1497393777303046,All_of_trial_1,1,0.3973286,0.1497726,1,0.4615603,0.1449486
99,1497393261443738,1497393777319673,All_of_trial_1,1,0.4108052,0.147175,1,0.4561855,0.1400529
99,1497393261460364,1497393777336300,All_of_trial_1,1,0.3968906,0.142741,1,0.4593143,0.1667535
99,1497393261477113,1497393777353051,All_of_trial_1,1,0.3981344,0.1555959,1,0.4602917,0.1552366
99,1497393261493738,1497393777369677,All_of_trial_1,1,0.3832949,0.1150281,1,0.4560334,0.1212233
99,1497393261510365,1497393777386305,All_of_trial_1,1,0.3720459,0.1191383,1,0.447674,0.1536244
