subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
whateer,1498844595167280,1498845117689299,All_of_trial_1,1,0.3885888,0.3985743,1,0.38583,0.3522388
whateer,1498844595183907,1498845117705928,All_of_trial_1,1,0.4631888,0.2721729,1,0.4666738,0.2260905
whateer,1498844595200655,1498845117722679,All_of_trial_1,1,0.4580686,0.1591142,1,0.4457234,0.1565373
whateer,1498844595217282,1498845117739308,All_of_trial_1,1,0.454403,0.1400848,1,0.4416588,0.1228147
whateer,1498844595233920,1498845117755948,All_of_trial_1,1,0.4525098,0.1418878,1,0.4398282,0.1230597
whateer,1498844595250529,1498845117772560,All_of_trial_1,1,0.4564391,0.147375,1,0.4424019,0.1232379
whateer,1498844595267155,1498845117789188,All_of_trial_1,1,0.4490857,0.1567685,1,0.4438488,0.1354814
whateer,1498844595283779,1498845117805814,All_of_trial_1,1,0.4521064,0.15016,1,0.4398292,0.1271866
whateer,1498844595300530,1498845117822567,All_of_trial_1,1,0.4508237,0.1433741,1,0.4391362,0.1269862
whateer,1498844595317155,1498845117839195,All_of_trial_1,1,0.4577186,0.1495703,1,0.4329491,0.1364433
whateer,1498844595333775,1498845117855817,All_of_trial_1,1,0.447565,0.1607266,1,0.4285724,0.1419269
whateer,1498844595350408,1498845117872452,All_of_trial_1,1,0.4525486,0.1554599,1,0.4354614,0.1390679
whateer,1498844595367156,1498845117889202,All_of_trial_1,1,0.4498144,0.1563733,1,0.4371975,0.149716
whateer,1498844595383782,1498845117905831,All_of_trial_1,1,0.4472375,0.160824,1,0.4344198,0.1476032
whateer,1498844595400408,1498845117922459,All_of_trial_1,1,0.4362129,0.1561177,1,0.4350151,0.1382513
whateer,1498844595417032,1498845117939085,All_of_trial_1,1,0.44101,0.1601069,1,0.4355633,0.1498239
whateer,1498844595433656,1498845117955711,All_of_trial_1,1,0.4489876,0.1548699,1,0.4344178,0.145382
whateer,1498844595450406,1498845117972464,All_of_trial_1,1,0.4591037,0.1910892,1,0.4690307,0.1736152
whateer,1498844595467032,1498845117989092,All_of_trial_1,1,0.5052804,0.2298471,1,0.5206526,0.2189251
whateer,1498844595483670,1498845118005732,All_of_trial_1,1,0.5121468,0.2843472,1,0.5517347,0.2492048
whateer,1498844595500281,1498845118022345,All_of_trial_1,1,0.5008558,0.3294421,1,0.5697405,0.283918
whateer,1498844595517032,1498845118039099,All_of_trial_1,1,0.5067645,0.3699468,1,0.586993,0.3184016
whateer,1498844595533658,1498845118055727,All_of_trial_1,1,0.4887492,0.4931932,1,0.5435345,0.3254942
whateer,1498844595550284,1498845118072355,All_of_trial_1,1,0.465034,0.5119685,1,0.523029,0.40512
whateer,1498844595567033,1498845118089106,All_of_trial_1,1,0.4495396,0.4754872,1,0.5085657,0.428753
whateer,1498844595583656,1498845118105732,All_of_trial_1,1,0.4378711,0.4643616,1,0.5144127,0.4498102
whateer,1498844595600410,1498845118122488,All_of_trial_1,1,0.4455236,0.4692573,1,0.5084705,0.4556983
whateer,1498844595617033,1498845118139113,All_of_trial_1,1,0.4395765,0.4804933,1,0.5124483,0.4490437
whateer,1498844595633657,1498845118155739,All_of_trial_1,1,0.4347674,0.4834332,1,0.5133461,0.4589937
whateer,1498844595650282,1498845118172367,All_of_trial_1,1,0.4360244,0.4697224,1,0.5169504,0.4561675
whateer,1498844595667034,1498845118189121,All_of_trial_1,1,0.4335744,0.4760322,1,0.5143186,0.4585666
whateer,1498844595683660,1498845118205749,All_of_trial_1,1,0.4430123,0.4638565,1,0.5209274,0.4656125
whateer,1498844595700283,1498845118222374,All_of_trial_1,0,NaN,NaN,1,0.57383,0.6644364
whateer,1498844595716913,1498845118239007,All_of_trial_1,0,NaN,NaN,0,NaN,NaN
whateer,1498844595733529,1498845118255625,All_of_trial_1,0,NaN,NaN,0,NaN,NaN
whateer,1498844595750288,1498845118272386,All_of_trial_1,0,NaN,NaN,0,NaN,NaN
whateer,1498844595766930,1498845118289030,All_of_trial_1,0,NaN,NaN,0,NaN,NaN
whateer,1498844595783539,1498845118305642,All_of_trial_1,0,NaN,NaN,0,NaN,NaN
whateer,1498844595800158,1498845118322263,All_of_trial_1,0,NaN,NaN,0,NaN,NaN
whateer,1498844595816920,1498845118339027,All_of_trial_1,0,NaN,NaN,0,NaN,NaN
whateer,1498844595833538,1498845118355647,All_of_trial_1,0,NaN,NaN,0,NaN,NaN
whateer,1498844595850158,1498845118372270,All_of_trial_1,0,NaN,NaN,0,NaN,NaN
whateer,1498844595866824,1498845118388938,All_of_trial_1,0,NaN,NaN,0,NaN,NaN
whateer,1498844595883492,1498845118405608,All_of_trial_1,0,NaN,NaN,0,NaN,NaN
whateer,1498844595900158,1498845118422277,All_of_trial_1,0,NaN,NaN,0,NaN,NaN
whateer,1498844595916719,1498845118438840,All_of_trial_1,0,NaN,NaN,0,NaN,NaN
whateer,1498844595933385,1498845118455508,All_of_trial_1,0,NaN,NaN,0,NaN,NaN
whateer,1498844595949922,1498845118472047,All_of_trial_1,1,0.4009463,0.5214873,1,0.5129798,0.5106245
whateer,1498844595966657,1498845118488785,All_of_trial_1,1,0.4133849,0.5605798,1,0.5039733,0.4921667
whateer,1498844595983285,1498845118505415,All_of_trial_1,1,0.3905496,0.5367998,1,0.4952244,0.4993831
whateer,1498844596000035,1498845118522167,All_of_trial_1,1,0.4034018,0.5482539,0,NaN,NaN
whateer,1498844596016660,1498845118538794,All_of_trial_1,1,0.4019563,0.5450898,1,0.5115173,0.5260522
whateer,1498844596033286,1498845118555423,All_of_trial_1,1,0.4005087,0.5460192,1,0.5108158,0.5159387
whateer,1498844596049916,1498845118572055,All_of_trial_1,1,0.3982612,0.5481558,1,0.5118371,0.5131171
whateer,1498844596066661,1498845118588802,All_of_trial_1,1,0.4028375,0.5368109,1,0.5110262,0.5089878
whateer,1498844596083287,1498845118605430,All_of_trial_1,1,0.4023665,0.5391882,1,0.507311,0.5060958
whateer,1498844596099914,1498845118622060,All_of_trial_1,1,0.4102092,0.5277025,1,0.5064898,0.5147795
whateer,1498844596116539,1498845118638687,All_of_trial_1,1,0.3981444,0.5313004,1,0.5161637,0.4998407
whateer,1498844596133289,1498845118655439,All_of_trial_1,1,0.3979333,0.5441796,1,0.5084337,0.5193652
whateer,1498844596149914,1498845118672066,All_of_trial_1,1,0.3993068,0.5484024,1,0.510632,0.5192407
whateer,1498844596166537,1498845118688692,All_of_trial_1,1,0.4019881,0.53802,1,0.5086603,0.5125549
whateer,1498844596183163,1498845118705320,All_of_trial_1,1,0.3994915,0.5448608,1,0.5033539,0.5194542
whateer,1498844596199786,1498845118721945,All_of_trial_1,1,0.3923866,0.5457759,1,0.5045931,0.5195923
whateer,1498844596216538,1498845118738699,All_of_trial_1,1,0.38864,0.5408742,1,0.5111064,0.5078557
whateer,1498844596233164,1498845118755328,All_of_trial_1,1,0.3945727,0.5429007,1,0.5092078,0.520805
whateer,1498844596249789,1498845118771955,All_of_trial_1,1,0.3956286,0.5373099,1,0.5013007,0.5134122
whateer,1498844596266414,1498845118788582,All_of_trial_1,1,0.3677602,0.5412423,1,0.4768044,0.5305892
whateer,1498844596283164,1498845118805334,All_of_trial_1,1,0.3525085,0.5503187,1,0.4737588,0.5211822
whateer,1498844596299788,1498845118821961,All_of_trial_1,1,0.3589185,0.5525808,1,0.4800506,0.5306329
whateer,1498844596316426,1498845118838601,All_of_trial_1,1,0.3626285,0.5466741,1,0.4719152,0.5256063
whateer,1498844596333040,1498845118855217,All_of_trial_1,1,0.3629498,0.5456823,1,0.4736934,0.5220879
whateer,1498844596349666,1498845118871845,All_of_trial_1,1,0.3591079,0.5560105,1,0.4739777,0.5246127
whateer,1498844596366414,1498845118888596,All_of_trial_1,1,0.352281,0.553411,1,0.4713357,0.5341994
whateer,1498844596383039,1498845118905223,All_of_trial_1,1,0.3603321,0.5487232,1,0.4757067,0.5291883
whateer,1498844596399668,1498845118921854,All_of_trial_1,1,0.3583458,0.5515897,1,0.4799299,0.5357715
whateer,1498844596416290,1498845118938478,All_of_trial_1,1,0.3624773,0.5560271,1,0.4808642,0.5261919
whateer,1498844596433005,1498845118955196,All_of_trial_1,0,NaN,NaN,0,NaN,NaN
whateer,1498844596449662,1498845118971855,All_of_trial_1,1,0.3685694,0.5457574,1,0.4871366,0.493944
whateer,1498844596466255,1498845118988450,All_of_trial_1,1,0.3765322,0.5380193,1,0.4947822,0.4934696
whateer,1498844596483005,1498845119005202,All_of_trial_1,1,0.364793,0.5496576,1,0.487297,0.4967514
whateer,1498844596499630,1498845119021830,All_of_trial_1,1,0.3777771,0.5440422,1,0.4841283,0.4927507
whateer,1498844596516256,1498845119038458,All_of_trial_1,1,0.3666446,0.5584098,1,0.4811803,0.5024391
whateer,1498844596532878,1498845119055082,All_of_trial_1,1,0.3821346,0.5334178,1,0.4884861,0.5036401
whateer,1498844596549504,1498845119071710,All_of_trial_1,1,0.3668452,0.556812,1,0.4873359,0.5060771
whateer,1498844596566254,1498845119088463,All_of_trial_1,1,0.4044999,0.5438367,1,0.4931411,0.4942121
whateer,1498844596582880,1498845119105091,All_of_trial_1,1,0.3696477,0.5468782,1,0.4881678,0.4997363
whateer,1498844596599506,1498845119121719,All_of_trial_1,1,0.3838478,0.5434315,1,0.4843873,0.5342228
whateer,1498844596616131,1498845119138347,All_of_trial_1,1,0.3834108,0.5379403,1,0.4830276,0.5324482
whateer,1498844596632881,1498845119155099,All_of_trial_1,1,0.3792629,0.5372272,1,0.48588,0.5335382
whateer,1498844596649506,1498845119171726,All_of_trial_1,1,0.3866812,0.544944,1,0.4843172,0.5330557
whateer,1498844596666132,1498845119188354,All_of_trial_1,1,0.3785062,0.547268,1,0.4850663,0.5300419
whateer,1498844596682760,1498845119204985,All_of_trial_1,1,0.3815727,0.5451517,1,0.4821591,0.5375709
whateer,1498844596699382,1498845119221609,All_of_trial_1,1,0.3776563,0.5450483,1,0.483117,0.5352241
