subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
sampledata,1496260160990720,1496260674371201,All_of_trial_3,1,0.9971148,-0.08535542,1,1.036679,-0.04616407
sampledata,1496260161007346,1496260674387829,All_of_trial_3,1,1.001913,-0.06964737,1,1.036797,-0.05264442
sampledata,1496260161024096,1496260674404581,All_of_trial_3,1,1.005761,-0.06678984,1,1.027989,-0.03467802
sampledata,1496260161040721,1496260674421208,All_of_trial_3,1,1.00497,-0.07274272,1,1.021961,-0.04168503
sampledata,1496260161057479,1496260674437968,All_of_trial_3,1,0.9892902,-0.05914099,1,1.025251,-0.03094893
sampledata,1496260161073972,1496260674454462,All_of_trial_3,1,1.013621,-0.1019186,1,1.029716,-0.04197387
sampledata,1496260161090721,1496260674471213,All_of_trial_3,1,0.9966972,-0.06826111,1,1.031732,-0.02923573
sampledata,1496260161107346,1496260674487840,All_of_trial_3,1,1.00226,-0.07838137,1,1.030426,-0.02925843
sampledata,1496260161124097,1496260674504593,All_of_trial_3,1,1.020723,-0.09445672,1,1.029195,-0.02979187
sampledata,1496260161140723,1496260674521221,All_of_trial_3,1,1.001368,-0.07610536,1,1.014213,-0.02178794
sampledata,1496260161157348,1496260674537847,All_of_trial_3,1,1.001164,-0.07103021,1,1.019343,-0.02062927
sampledata,1496260161173974,1496260674554474,All_of_trial_3,1,1.022375,-0.09166604,1,1.016907,-0.02264264
sampledata,1496260161190599,1496260674571101,All_of_trial_3,1,1.025629,-0.08495838,1,1.017942,-0.01841922
sampledata,1496260161207349,1496260674587853,All_of_trial_3,1,1.007738,-0.05358965,1,1.018665,-0.03342534
sampledata,1496260161223975,1496260674604481,All_of_trial_3,1,0.9961483,-0.05869056,1,1.02028,-0.01217205
sampledata,1496260161240600,1496260674621108,All_of_trial_3,1,1.009642,-0.0869219,1,1.022162,-0.01494701
sampledata,1496260161257226,1496260674637736,All_of_trial_3,1,1.001632,-0.05599228,1,1.021642,-0.01370674
sampledata,1496260161273849,1496260674654360,All_of_trial_3,1,0.9980859,-0.06735528,1,1.019091,-0.0136303
sampledata,1496260161290601,1496260674671114,All_of_trial_3,1,1.004159,-0.05425501,1,1.023764,-0.02200996
sampledata,1496260161307227,1496260674687742,All_of_trial_3,1,0.9978814,-0.0728509,1,1.023892,-0.01414282
sampledata,1496260161323851,1496260674704367,All_of_trial_3,1,1.003993,-0.05141053,1,1.023567,-0.0201905
sampledata,1496260161340477,1496260674720995,All_of_trial_3,1,1.032677,-0.09307796,1,1.022436,-0.01433183
sampledata,1496260161357226,1496260674737746,All_of_trial_3,1,0.9956139,-0.05505099,1,1.022172,-0.01878064
