subjectID,device_time_stamp,system_time_stamp,description,L_valid,L_x,L_y,R_valid,R_x,R_y
testdata_mk,1497477179393987,1497477695988422,All_of_trial_2,1,0.5156224,0.4420569,1,0.5471206,0.4959307
testdata_mk,1497477179410614,1497477696005050,All_of_trial_2,1,0.5165711,0.4408826,1,0.5452179,0.489137
testdata_mk,1497477179427240,1497477696021676,All_of_trial_2,1,0.5174071,0.4435379,1,0.5458568,0.497286
testdata_mk,1497477179443867,1497477696038304,All_of_trial_2,1,0.5124307,0.4385767,1,0.5411193,0.4999677
testdata_mk,1497477179460617,1497477696055055,All_of_trial_2,1,0.5129855,0.4428329,1,0.542195,0.4984736
testdata_mk,1497477179477249,1497477696071688,All_of_trial_2,1,0.5151839,0.4392662,1,0.545857,0.4925022
testdata_mk,1497477179493869,1497477696088308,All_of_trial_2,1,0.5139206,0.443417,1,0.5508426,0.4957143
testdata_mk,1497477179510494,1497477696104934,All_of_trial_2,1,0.5159427,0.4411605,1,0.5474455,0.4986998
testdata_mk,1497477179527247,1497477696121688,All_of_trial_2,1,0.5100999,0.4489205,1,0.5408931,0.4988163
testdata_mk,1497477179543871,1497477696138312,All_of_trial_2,1,0.5122991,0.447955,1,0.5415859,0.4914651
testdata_mk,1497477179560498,1497477696154940,All_of_trial_2,1,0.5154634,0.4497979,1,0.5469872,0.4929516
testdata_mk,1497477179577124,1497477696171566,All_of_trial_2,1,0.5139186,0.4572241,1,0.5436118,0.4866936
testdata_mk,1497477179593752,1497477696188195,All_of_trial_2,1,0.5062572,0.4571031,1,0.5436649,0.4866004
testdata_mk,1497477179610513,1497477696204957,All_of_trial_2,1,0.5093841,0.450389,1,0.5430097,0.4891038
testdata_mk,1497477179627128,1497477696221572,All_of_trial_2,1,0.5135458,0.4540906,1,0.5419134,0.4843453
testdata_mk,1497477179643754,1497477696238199,All_of_trial_2,1,0.5099549,0.4618022,1,0.5488521,0.4873105
testdata_mk,1497477179660380,1497477696254826,All_of_trial_2,1,0.5058286,0.4590695,1,0.5405221,0.4909071
testdata_mk,1497477179677132,1497477696271579,All_of_trial_2,1,0.509448,0.4515095,1,0.5396326,0.4857125
testdata_mk,1497477179693756,1497477696288203,All_of_trial_2,1,0.5257226,0.4631831,1,0.5577072,0.4889176
testdata_mk,1497477179710382,1497477696304830,All_of_trial_2,1,0.5305969,0.4678991,1,0.5694289,0.5008035
testdata_mk,1497477179727008,1497477696321457,All_of_trial_2,1,0.540635,0.4579482,1,0.5654624,0.4951201
testdata_mk,1497477179743635,1497477696338085,All_of_trial_2,1,0.535944,0.4605954,1,0.5683954,0.5060073
